% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
15 +5.989139642e+04 +5.989139642e+04 +6.009977642e+04 +6.009977642e+04 +3.2703e+00 +3.2009e+00 +2.3757e+00 -1.8932e+00 -4.9522e+00 -1.2055e+00 +4.0184e+00 +1.8008e+00 +4.0903e+00 +1.1981e+00 -2.3649e+00 +4.1796e+00 -1.7778e+00 -4.9461e+00 -4.7175e-01 +8.1560e-02 +7.5974e-01 -1.8712e-01 +3.8859e-01 +3.6869e+00
133 +3.720625819e+04 +3.720625819e+04 +3.741463819e+04 +3.741463819e+04 +7.7605e-01 +2.9098e+00 -3.0901e+00 -1.8908e+00 -1.4083e+00 +1.8976e+00 -2.4425e+00 +4.3438e+00 +1.8093e-01 +4.4893e+00 +2.2910e+00 +4.3762e+00 -1.6573e+00 -4.0179e+00 +3.5764e+00 -1.6842e-01 +3.1376e+00 +3.5671e+00 +2.6730e+00 +8.1496e-01
333 +1.856515525e+04 +1.856515525e+04 +1.877353525e+04 +1.877353525e+04 +1.2487e+00 +7.1525e-01 -1.8951e+00 +2.2362e+00 -2.5722e+00 +1.5632e+00 -1.0061e+00 -1.3817e+00 -7.0227e-01 +3.1862e+00 +2.1741e+00 +1.1659e+00 -1.0506e-01 -3.2939e-01 +3.3442e-01 -2.1392e+00 -1.3759e+00 -2.2264e-01 +2.7612e+00 +5.8758e-01
442 +1.525897489e+04 +1.525897489e+04 +1.546735489e+04 +1.546735489e+04 +1.9126e+00 -7.6346e-01 +2.7147e+00 -1.8704e+00 +1.6107e+00 -4.5114e+00 +6.6452e-01 +1.7964e+00 -5.6992e-01 +1.2990e-01 +3.0280e+00 +3.2427e+00 -9.4460e-01 -1.6378e+00 +8.2776e-01 -7.7074e-01 +5.0392e-01 +1.1658e-01 +8.7339e-01 +8.9969e-02
1753 +6.610153548e+03 +6.610153548e+03 +6.818533548e+03 +6.818533548e+03 -1.7929e+00 -2.1664e+00 +1.7065e+00 -1.8840e+00 -1.2114e+00 -2.1864e-01 -1.7995e+00 +3.7913e+00 +1.7351e-01 +3.2724e+00 +2.4910e+00 +5.2936e-01 -3.6265e+00 -1.5183e+00 +1.0769e-01 -3.3308e+00 +2.4762e-01 +3.7243e-01 +4.7918e-01 +1.4160e+00
1771 +6.031229182e+03 +6.031229182e+03 +6.239609182e+03 +6.239609182e+03 +1.1062e+00 -6.2822e-01 -2.5705e+00 -2.5528e+00 +1.3866e-01 +2.3962e+00 -1.7039e+00 -4.5737e-01 -2.6789e+00 +1.8433e+00 +2.6866e+00 +1.3762e+00 -1.6198e+00 +4.8795e-01 +6.5102e-01 -1.3230e+00 +2.5997e+00 +1.8389e+00 +1.0344e+00 +3.0650e-01
1841 +3.818123483e+03 +3.818123483e+03 +4.026503483e+03 +4.026503483e+03 -1.5794e+00 -1.0848e+00 +2.1922e+00 +2.7850e+00 -1.9739e+00 -7.5107e-02 +1.2519e+00 -1.6892e+00 -1.4426e+00 +3.4489e-01 +2.1721e+00 +1.5691e+00 -1.3586e+00 -1.4428e+00 -3.3555e-01 -1.7681e+00 +1.0010e+00 +9.3979e-01 +1.3528e+00 +1.5193e-01
1921 +2.216355734e+03 +2.216355734e+03 +2.424735734e+03 +2.424735734e+03 -4.0970e-02 -2.6329e+00 +8.6441e-01 -9.7319e-01 +8.0254e-01 +1.3739e+00 -4.3151e-01 -1.4340e+00 +1.5341e-01 +2.3139e+00 +1.2310e-01 +9.2480e-01 -3.0087e+00 +2.1597e-01 +1.6568e+00 -1.6724e-01 +2.3156e+00 +1.6535e+00 +1.9858e+00 +2.4029e+00
2365 +1.005108078e+03 +1.005108078e+03 +1.213488078e+03 +1.213488078e+03 +1.9237e-01 +9.9405e-01 -2.4092e+00 -5.5886e-02 +1.9201e+00 -4.2031e-01 +2.0924e+00 -2.5548e-01 +1.3834e-01 +1.5381e+00 +7.6429e-01 +2.8492e+00 -1.6262e+00 +2.0569e-01 +2.5209e-01 -2.4880e+00 +1.1904e+00 +2.2463e+00 +9.2596e-01 +1.9846e+00
2631 +4.974370498e+02 +4.974370498e+02 +7.058170498e+02 +7.058170498e+02 +5.4170e-01 +2.0145e+00 -1.8834e+00 +9.7162e-02 +1.3237e+00 -1.2965e+00 +2.1252e+00 +7.9589e-01 -2.1147e+00 -3.0534e-01 +2.7126e+00 +1.0722e+00 -4.3953e-01 -8.7564e-01 +1.2000e+00 -1.2883e+00 +1.5938e+00 +4.1883e-01 +6.5387e-01 +1.3293e+00
2997 +2.292133601e+02 +2.292133601e+02 +4.375933601e+02 +4.375933601e+02 +1.6311e+00 +9.8869e-01 +9.4406e-01 +9.8635e-01 -1.5212e+00 +6.9920e-01 -5.4486e-01 +1.0123e+00 -2.2919e-01 +1.1618e-01 +2.2631e+00 +8.3003e-01 -1.6649e+00 -1.5622e+00 +7.9574e-01 -1.4508e+00 +9.7753e-01 +1.0248e+00 +8.7108e-01 +7.5125e-01
3071 +5.185472034e+01 +5.185472034e+01 +2.602347203e+02 +2.602347203e+02 -9.8666e-01 -1.8307e+00 +2.1370e+00 +8.7395e-01 +3.4206e-01 +5.8335e-01 +1.4692e+00 +2.6420e+00 -1.4472e+00 +1.8262e+00 +2.0021e+00 -8.6365e-02 -1.0983e+00 -1.5119e+00 +7.3273e-01 -6.9452e-01 +2.7175e+00 +1.2115e+00 +1.9995e+00 +2.1332e+00
