% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
358 +6.235894870e+01 +6.235894870e+01 +6.617894870e+01 +6.617894870e+01 +3.0849e+00 -3.2142e-01 +1.7852e+00 -7.0789e-01 +3.5782e+00 -1.5008e+00 +2.1499e+00 +2.1808e-01 -1.8495e+00 -7.4512e-01 +1.4204e+00 +1.5513e+00 +3.8195e-01 -9.7397e-01 -2.5590e+00 +5.3212e-01 -2.1371e+00 +4.0015e+00 +1.0850e+00 +2.3296e+00
676 +3.893100993e+01 +3.893100993e+01 +4.275100993e+01 +4.275100993e+01 +2.7783e+00 +7.4383e-01 +1.5297e+00 -1.5420e+00 +6.3014e-01 -1.7099e+00 +1.8957e+00 -1.4919e+00 -5.0134e-01 -1.3337e+00 +9.4053e-01 +7.2582e-01 -8.2179e-01 -2.5652e+00 -1.1450e+00 +1.1829e+00 -1.2541e+00 +4.8487e+00 -2.8773e-01 +2.5408e+00
776 +2.501989681e+01 +2.501989681e+01 +2.883989681e+01 +2.883989681e+01 +2.5791e+00 +5.8482e-01 +1.6166e+00 -1.9429e+00 +9.9735e-01 -1.4111e+00 +1.6386e+00 -1.9820e+00 -4.3956e-02 -1.5233e+00 +1.1643e+00 +1.5880e+00 -5.1033e-01 -2.7512e+00 -1.8653e+00 +9.5672e-01 -1.0416e+00 +3.9892e+00 -3.3203e-01 +3.0517e+00
1032 +1.444093343e+01 +1.444093343e+01 +1.826093343e+01 +1.826093343e+01 +3.0520e+00 +6.9315e-01 +1.6488e+00 -2.3804e+00 +9.4292e-01 -1.3533e+00 +1.8458e+00 -3.1568e+00 +6.3247e-01 -1.5805e+00 +4.9777e-01 +1.9277e+00 -2.7343e-01 -3.0610e+00 -1.6048e+00 +1.5169e+00 -6.9510e-01 +3.6473e+00 +1.8444e-01 +2.9379e+00
1253 +9.656825392e+00 +9.656825392e+00 +1.347682539e+01 +1.347682539e+01 +3.2449e+00 +4.8636e-01 +1.7961e+00 -2.6168e+00 +6.8333e-01 -1.2132e+00 +1.4648e+00 -3.4621e+00 +9.9260e-01 -1.2920e+00 +7.7066e-01 +2.0377e+00 -4.0885e-01 -2.8101e+00 -1.4513e+00 +1.6029e+00 -8.3422e-02 +3.0582e+00 +6.1570e-01 +2.7601e+00
3664 +6.189493711e+00 +6.189493711e+00 +1.000949371e+01 +1.000949371e+01 +3.7791e+00 +4.5148e-01 +1.8728e+00 -2.6717e+00 +1.1967e+00 -2.7624e-01 +1.3295e+00 -4.1863e+00 +7.9596e-01 -4.6293e-01 +5.4809e-01 +2.8906e+00 -5.3821e-01 -2.8976e+00 -7.6209e-01 +1.6288e+00 +8.6983e-01 +1.0171e+00 +1.4817e+00 +2.7455e+00
32246 +3.979075746e+00 +3.979075746e+00 +7.799075746e+00 +7.799075746e+00 +4.4616e+00 +7.7323e-01 +2.6375e+00 -2.0956e+00 +1.8077e+00 -4.6379e-01 +5.1194e-01 -3.1009e+00 -1.5284e-01 -3.2040e-01 +1.0723e+00 +3.6183e+00 -4.8680e-01 -2.1485e+00 -1.2569e+00 +1.1659e+00 +2.5621e+00 +2.3576e+00 +1.7636e+00 +2.3830e+00
32478 +2.300275981e+00 +2.300275981e+00 +6.120275981e+00 +6.120275981e+00 +4.2823e+00 +9.7327e-01 +2.4908e+00 -2.2202e+00 +1.5159e+00 -3.7127e-01 +7.7513e-01 -3.1897e+00 -7.9450e-03 -3.4962e-01 +8.7596e-01 +3.5148e+00 -9.3063e-01 -2.2538e+00 -1.4961e+00 +1.0871e+00 +2.5732e+00 +2.3892e+00 +2.0709e+00 +2.5675e+00
66375 +1.575696744e+00 +1.575696744e+00 +5.395696744e+00 +5.395696744e+00 +3.8222e+00 +1.2538e+00 +2.2382e+00 -1.6172e+00 +1.4803e+00 -9.6538e-01 +5.0858e-01 -3.2959e+00 +6.6392e-01 -8.3512e-01 +8.2296e-01 +3.7278e+00 -7.6044e-01 -3.2315e+00 -1.0743e+00 +8.1196e-01 +2.9763e+00 +3.3089e+00 +1.3807e+00 +3.1493e+00
% function evaluation | noise-free fitness - Fopt (2.175000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.304804002e+02 +6.304804002e+02 +6.522304002e+02 +6.522304002e+02 +3.9467e+00 -2.3623e+00 +1.9680e-01 -2.7996e+00 -2.7561e+00 +6.3293e-01 +3.3020e+00 -2.1145e+00 +6.0312e-01 +2.8252e+00 -1.8317e+00 -7.2855e-01 +2.5527e+00 +3.8030e+00 -1.6742e+00 +3.1437e+00 +4.6423e-01 -2.3327e+00 -1.9692e+00 +6.7734e-01
65 +3.980339741e+02 +3.980339741e+02 +4.197839741e+02 +4.197839741e+02 +5.8358e+00 -1.3976e+00 +1.7562e+00 -1.4049e+00 -2.0010e+00 -5.0484e-01 +4.7990e+00 +1.1539e+00 -2.7395e+00 +3.4963e+00 +9.4146e-01 +1.7244e+00 +3.7278e+00 +4.1413e-01 -1.5261e+00 -1.8298e+00 +2.8737e+00 -1.7392e+00 -6.4271e+00 +1.1588e+00
174 +2.263929027e+02 +2.263929027e+02 +2.481429027e+02 +2.481429027e+02 +1.6569e+00 +1.6993e+00 -2.5940e+00 +1.0659e+00 +1.6494e+00 -3.0198e-01 +3.3286e+00 +2.6619e+00 -2.2814e+00 +3.9015e+00 +2.6365e-01 -1.8311e+00 +1.5033e+00 -5.2279e-01 -3.8793e+00 -8.6488e-01 -2.9458e+00 -6.4012e-01 -6.2549e+00 -1.0378e+00
290 +1.096724439e+02 +1.096724439e+02 +1.314224439e+02 +1.314224439e+02 +3.6750e+00 -1.5802e-01 -2.8898e+00 +1.9981e+00 -3.8467e-01 -1.8949e+00 +2.5150e+00 +1.0107e-01 -1.4515e+00 +4.4357e+00 +2.1891e+00 -2.0912e+00 +2.5319e+00 +3.4650e-01 -2.8048e+00 -7.3944e-01 -1.4676e+00 +6.9282e-01 -3.8581e+00 -1.4255e+00
329 +9.193643642e+01 +9.193643642e+01 +1.136864364e+02 +1.136864364e+02 +2.2442e+00 -1.0779e+00 -2.4006e+00 +2.9177e+00 +1.4397e+00 -2.9726e+00 +2.1916e+00 +3.1317e+00 -1.3038e-01 +3.3630e+00 +2.3813e+00 -1.9978e+00 +2.0355e+00 -3.1136e+00 -2.8633e+00 -3.5081e+00 -1.1507e+00 -4.1577e-01 -3.6005e+00 -1.1092e+00
