% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
40 +1.558529938e+01 +1.558529938e+01 -5.974947006e+02 -5.974947006e+02 -1.9501e+00 -4.6598e-01 -1.2441e+00 +1.7415e-01 -8.0870e-01 +2.6655e-01 +1.2757e+00 +9.6062e-01 +1.9885e+00 -2.9586e-01 -2.4821e+00 -4.1625e+00 -1.2627e+00 -1.2608e+00 +2.9110e+00 -2.6384e-01 +6.2029e-01 -4.4170e+00 +4.3545e-01 +2.1929e+00
807 +9.414812435e+00 +9.414812435e+00 -6.036651876e+02 -6.036651876e+02 +3.4773e-01 -1.3549e+00 +1.4244e+00 -1.5111e+00 +2.2515e+00 -2.4533e+00 +5.7427e-01 -1.4503e-01 +1.8969e+00 +5.1507e-01 -2.3733e+00 -3.6912e-01 -6.2488e-01 -9.6863e-02 +2.1285e+00 +2.0889e-01 +6.5090e-02 -2.1384e+00 -2.4044e+00 -1.8746e+00
2154 +6.017479237e+00 +6.017479237e+00 -6.070625208e+02 -6.070625208e+02 +2.1235e+00 +2.7418e-01 -4.7908e-01 -1.7789e+00 -5.5271e-01 -2.4538e-01 -1.7557e+00 -1.8829e+00 -6.5668e-02 -1.2801e+00 -6.7994e-01 -1.3489e+00 +1.5651e+00 -1.4102e+00 +4.5151e-01 -1.4054e+00 -9.2452e-01 +1.3641e+00 -8.1282e-02 -8.0670e-01
63201 +3.896369913e+00 +3.896369913e+00 -6.091836301e+02 -6.091836301e+02 -4.0469e-01 -1.2351e+00 +9.0779e-01 -5.9519e-01 +6.4288e-01 +6.9279e-01 -8.7637e-01 -5.8475e-01 -4.2858e-01 -9.9497e-01 +1.4937e+00 -1.9691e-01 +8.0094e-01 +6.1656e-01 +2.6572e-01 +1.7561e-01 +7.0187e-01 +9.4644e-01 +2.9346e-01 -2.4882e-01
174404 +2.270179579e+00 +2.270179579e+00 -6.108098204e+02 -6.108098204e+02 -5.0853e-01 -1.6712e-01 -1.1639e+00 -9.1888e-01 +1.3310e+00 +1.1642e+00 +2.0991e-01 -2.2825e-01 -7.2450e-01 -8.6582e-02 +2.4553e-01 +6.3691e-01 +4.0879e-01 -2.9648e-01 -2.6878e-01 +1.0692e+00 +2.0879e-01 -2.0655e-01 -6.0740e-01 +1.3416e-01
317201 +1.562539647e+00 +1.562539647e+00 -6.115174604e+02 -6.115174604e+02 -5.0756e-01 -1.6567e-01 -1.1639e+00 -9.1703e-01 +1.3310e+00 +1.1635e+00 +2.1032e-01 -2.2825e-01 -7.2450e-01 -8.8076e-02 +2.4521e-01 +6.3691e-01 +4.0879e-01 -2.9642e-01 -2.7101e-01 +1.0688e+00 +2.0749e-01 -2.0806e-01 -6.0693e-01 +1.3429e-01
% function evaluation | noise-free fitness - Fopt (7.346000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.520067181e+02 +1.520067181e+02 +2.254667181e+02 +2.254667181e+02 -3.9548e+00 -5.4707e-01 -3.7582e+00 +5.5380e-01 +8.6757e-01 -3.4041e+00 -2.3533e+00 -2.6052e+00 -4.3441e+00 -4.1403e+00 -6.9887e-01 +4.7278e+00 -8.8791e-01 -3.8171e+00 +4.9554e+00 -4.8496e-01 -1.0030e+00 +1.9423e+00 +4.0202e+00 -4.9669e+00
3 +5.238698457e+01 +5.238698457e+01 +1.258469846e+02 +1.258469846e+02 +1.0259e+00 -2.2260e+00 -3.9002e+00 +4.3238e+00 +2.2968e+00 -4.8040e+00 -1.2598e+00 +1.8746e+00 -2.7251e+00 -8.6774e-01 +1.5574e+00 +3.3908e+00 +7.9830e-01 -2.2223e-01 +2.3649e+00 +4.6573e+00 +1.7740e+00 -2.5168e-01 -3.2724e+00 -4.5710e+00
13 +3.170928265e+01 +3.170928265e+01 +1.051692827e+02 +1.051692827e+02 +3.6115e+00 +4.1453e+00 +1.3816e+00 -3.1183e+00 -6.9924e-01 -1.1384e+00 -1.5880e+00 +1.8030e+00 +2.6937e-01 +2.4566e+00 -4.9586e+00 -2.2266e+00 +1.4166e+00 +4.7376e+00 +1.9957e+00 -1.0782e-01 +5.7127e-01 +3.0952e+00 -3.1999e+00 +2.6387e+00
67 +1.991900053e+01 +1.991900053e+01 +9.337900053e+01 +9.337900053e+01 +2.7066e+00 -1.3698e+00 -6.7538e-01 -2.3829e+00 -6.3027e-01 -1.4796e+00 -1.2093e+00 +1.7474e+00 -1.2782e+00 -2.9182e+00 +3.3853e+00 +1.0554e+00 -3.1268e+00 -9.0565e-01 +4.4234e+00 +6.3849e-01 +9.3246e-01 +3.2995e+00 -9.5946e-01 +4.2734e-02
363 +1.581682000e+01 +1.581682000e+01 +8.927682000e+01 +8.927682000e+01 -1.1673e+00 +1.2183e+00 +1.9271e+00 +1.2386e+00 +5.0730e-01 +2.5553e+00 +1.4747e+00 +1.3966e+00 +1.2180e+00 -2.4207e-01 +3.9132e+00 +1.0340e+00 +1.8345e-01 +2.8415e-01 -2.1225e+00 -1.1101e+00 +1.9079e+00 -2.4224e+00 -8.3277e-01 +1.9625e+00
938 +9.396720981e+00 +9.396720981e+00 +8.285672098e+01 +8.285672098e+01 +2.2738e+00 -1.1230e+00 -1.6238e+00 +9.5043e-01 -2.5607e-01 +4.2156e-01 -5.6628e-01 +8.2925e-01 +4.6908e+00 -1.2612e+00 +9.9076e-01 +1.9109e+00 +2.7260e+00 +6.5742e-01 +1.8075e+00 +1.5304e+00 -5.1519e-01 +2.5446e+00 +2.7340e-01 -5.5173e-01
1640 +5.861790313e+00 +5.861790313e+00 +7.932179031e+01 +7.932179031e+01 +5.2934e-01 -4.6627e-01 -4.0010e+00 -6.3728e-01 +3.6254e-02 +2.3184e+00 +6.9028e-01 -9.1709e-01 +1.2692e+00 -1.1020e+00 +5.0449e-01 +2.4163e+00 -3.6043e-01 +4.7685e-01 +7.3442e-01 +4.3783e-01 -5.2472e-01 +3.1361e-01 +7.2008e-01 -4.8302e-01
