% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
113603 +3.869480111e-02 +3.869480111e-02 +1.238686948e+02 +1.238686948e+02 +1.6120e-01 -4.7608e-01 -6.4933e-01 -2.6999e-02 +5.9695e-01 -1.1013e-01 -7.1733e-01 -9.6848e-02 +5.3436e-02 +1.0325e+00 -2.0321e-01 +1.3335e-02 +3.9549e-01 -5.1046e-02 -7.0872e-01 -4.3955e-01 +9.7913e-01 -1.4560e-01 +2.3325e-01 +9.3865e-02
114427 +2.495957748e-02 +2.495957748e-02 +1.238549596e+02 +1.238549596e+02 +1.5826e-01 -4.7033e-01 -6.5387e-01 -2.2751e-02 +6.0763e-01 -1.0497e-01 -7.1780e-01 -1.0548e-01 +4.4331e-02 +1.0430e+00 -2.1300e-01 -4.4104e-03 +3.8198e-01 -4.6684e-02 -7.0944e-01 -4.5278e-01 +9.8455e-01 -1.3904e-01 +2.3353e-01 +8.2823e-02
115499 +1.532154707e-02 +1.532154707e-02 +1.238453215e+02 +1.238453215e+02 +1.5633e-01 -4.6660e-01 -6.5915e-01 -1.9607e-02 +6.1935e-01 -9.9152e-02 -7.2114e-01 -1.1370e-01 +3.4772e-02 +1.0539e+00 -2.2166e-01 -2.3055e-02 +3.6848e-01 -4.2454e-02 -7.0850e-01 -4.6931e-01 +9.8917e-01 -1.3279e-01 +2.3262e-01 +6.9641e-02
116447 +9.013317844e-03 +9.013317844e-03 +1.238390133e+02 +1.238390133e+02 +1.5020e-01 -4.5689e-01 -6.6890e-01 -1.3624e-02 +6.3970e-01 -8.8465e-02 -7.2445e-01 -1.2619e-01 +1.7061e-02 +1.0728e+00 -2.3922e-01 -5.6184e-02 +3.4434e-01 -3.4428e-02 -7.0703e-01 -4.9864e-01 +1.0016e+00 -1.2013e-01 +2.3276e-01 +4.5289e-02
117403 +5.998646353e-03 +5.998646353e-03 +1.238359986e+02 +1.238359986e+02 +1.4924e-01 -4.5575e-01 -6.6929e-01 -1.3686e-02 +6.4153e-01 -8.7274e-02 -7.2352e-01 -1.2653e-01 +1.5891e-02 +1.0752e+00 -2.3953e-01 -5.7750e-02 +3.4292e-01 -3.2114e-02 -7.0754e-01 -4.9956e-01 +1.0011e+00 -1.1844e-01 +2.3350e-01 +4.5708e-02
118312 +3.525827866e-03 +3.525827866e-03 +1.238335258e+02 +1.238335258e+02 +1.4637e-01 -4.5095e-01 -6.7327e-01 -9.9670e-03 +6.5145e-01 -8.2526e-02 -7.2442e-01 -1.3296e-01 +7.5452e-03 +1.0854e+00 -2.4880e-01 -7.3939e-02 +3.3127e-01 -2.7696e-02 -7.0571e-01 -5.1499e-01 +1.0066e+00 -1.1271e-01 +2.3478e-01 +3.3851e-02
119051 +2.439382239e-03 +2.439382239e-03 +1.238324394e+02 +1.238324394e+02 +1.4465e-01 -4.4768e-01 -6.7595e-01 -7.5698e-03 +6.5861e-01 -8.0092e-02 -7.2573e-01 -1.3757e-01 +1.4486e-03 +1.0924e+00 -2.5438e-01 -8.5230e-02 +3.2313e-01 -2.5449e-02 -7.0555e-01 -5.2486e-01 +1.0099e+00 -1.0845e-01 +2.3469e-01 +2.6391e-02
119718 +1.561422399e-03 +1.561422399e-03 +1.238315614e+02 +1.238315614e+02 +1.4302e-01 -4.4497e-01 -6.7837e-01 -5.9486e-03 +6.6391e-01 -7.6770e-02 -7.2620e-01 -1.4129e-01 -4.3224e-03 +1.0978e+00 -2.5896e-01 -9.4209e-02 +3.1706e-01 -2.2420e-02 -7.0474e-01 -5.3260e-01 +1.0125e+00 -1.0528e-01 +2.3555e-01 +1.9987e-02
120175 +9.706215642e-04 +9.706215642e-04 +1.238309706e+02 +1.238309706e+02 +1.4249e-01 -4.4403e-01 -6.7868e-01 -5.8127e-03 +6.6544e-01 -7.6055e-02 -7.2608e-01 -1.4240e-01 -5.7464e-03 +1.0991e+00 -2.6023e-01 -9.7331e-02 +3.1516e-01 -2.1347e-02 -7.0401e-01 -5.3462e-01 +1.0129e+00 -1.0405e-01 +2.3557e-01 +1.8556e-02
120556 +6.303172560e-04 +6.303172560e-04 +1.238306303e+02 +1.238306303e+02 +1.4167e-01 -4.4252e-01 -6.7951e-01 -4.5898e-03 +6.6909e-01 -7.5018e-02 -7.2630e-01 -1.4487e-01 -8.9054e-03 +1.1015e+00 -2.6300e-01 -1.0221e-01 +3.1140e-01 -1.9649e-02 -7.0355e-01 -5.3931e-01 +1.0139e+00 -1.0204e-01 +2.3613e-01 +1.5565e-02
